scalar,alpha,homo,mus,gallus,latimeria,danio,callorhinchus,petromyzon,ciona,branchiostoma,xenambulacraria,protostomia,cnidaria,placozoa,ctenophora,porifera,tai_index
1.516,1.643930988,0,0,0,0,0,2,10,0,3,5,13,27,29,32,4879,1.0486
1.564,1.294283628,0,0,0,0,0,0,5,3,1,2,15,28,35,8,4902,1.040408082
1.612,0.902657841,0,0,0,0,0,0,6,0,1,1,7,13,19,9,4944,1.0234
1.66,0.997607167,0,0,0,0,0,0,7,1,3,2,10,13,24,18,4922,1.0316
1.708,0.443310964,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4994,1.00120024
1.756,1.347518929,0,0,0,0,0,1,12,1,4,4,25,44,56,6,4847,1.0706
1.804,1.19988,0,0,0,0,0,2,21,1,3,7,30,41,44,15,4836,1.0856
1.852,0.694489502,0,1,0,0,0,0,2,1,0,1,3,8,10,18,4956,1.0138
1.9,1.11927515,0,0,0,0,0,2,13,0,3,7,26,40,29,41,4839,1.0674
1.948,0.778235074,0,0,0,0,0,1,5,0,0,2,6,16,24,2,4944,1.025
1.996,0.824271143,1,0,0,0,0,1,5,2,1,1,18,19,26,7,4919,1.0386
2.044,0.902657841,1,0,0,0,0,2,10,3,0,4,12,14,32,31,4891,1.0454
2.092,0.927473678,0,0,0,0,0,4,21,4,2,5,19,29,39,42,4835,1.0774
2.14,0.783382308,0,0,0,0,0,1,4,1,2,1,17,26,25,9,4914,1.0368
2.188,1.016129363,0,0,0,0,0,8,20,4,11,17,30,62,71,15,4762,1.1272
2.236,0.80829029,0,0,0,0,0,6,16,3,2,7,24,37,38,46,4821,1.08
2.284,1.336390693,0,0,0,0,0,24,61,6,19,26,61,146,177,22,4458,1.3012
2.332,0.476972381,0,0,0,0,0,1,2,0,0,0,8,8,6,2,4973,1.0136
2.38,0.848762715,0,0,0,1,0,4,18,2,6,7,24,38,42,15,4843,1.0852
2.428,1.011330367,0,0,0,0,0,12,31,4,5,13,55,74,74,13,4719,1.1602
2.476,0.942621135,1,0,0,2,0,10,32,3,8,18,53,55,57,21,4740,1.1574
2.524,0.697947988,1,0,0,0,0,3,15,1,2,3,11,24,26,10,4904,1.055
2.572,0.707665446,0,2,0,0,0,4,16,0,6,3,25,35,42,8,4859,1.0786
2.62,1.138929983,1,0,0,0,0,30,62,2,10,37,85,107,146,22,4498,1.302
2.668,0.647310368,1,0,0,0,0,6,14,1,3,9,17,31,32,19,4867,1.0718
2.716,0.796614688,0,0,0,0,0,10,27,2,3,12,29,44,59,13,4801,1.1156
2.764,0.565679604,0,0,0,0,0,2,12,0,1,5,17,14,20,11,4918,1.0448
2.812,1.201171423,1,0,0,0,0,28,92,5,16,30,83,158,183,229,4175,1.3714
2.86,1.044760658,0,0,1,0,1,21,53,3,9,27,85,117,127,11,4545,1.2686
2.908,0.76479488,0,1,0,0,2,9,31,1,8,13,48,56,44,8,4779,1.1426
2.956,1.035245078,0,0,0,0,0,40,114,3,19,38,128,198,225,30,4205,1.4776
3.004,1.194508597,0,0,0,1,0,43,81,7,31,34,92,167,196,21,4327,1.4116
3.052,0.811135953,0,1,1,0,0,33,58,2,11,17,76,86,90,15,4610,1.2628
3.1,1.125260066,0,0,2,0,3,71,161,9,46,59,236,355,369,34,3655,1.8088
3.148,0.684904267,1,0,1,1,0,19,40,1,5,8,38,52,39,19,4776,1.156
3.196,0.779436046,0,0,1,0,1,14,54,4,17,18,63,88,78,29,4633,1.2262
3.244,0.571391823,0,1,0,0,0,17,31,2,5,8,30,36,41,12,4817,1.127
3.292,1.287613612,0,3,1,4,3,86,207,24,37,75,227,398,388,43,3504,1.9452
3.34,0.832732645,0,1,1,0,3,50,84,3,12,39,95,128,168,29,4387,1.3948
3.388,0.689744494,0,1,1,2,1,29,37,3,6,16,60,55,67,18,4704,1.2006
3.436,1.335207184,0,0,2,4,3,86,215,17,66,105,333,644,518,48,2959,2.1848
3.484,0.634647339,0,1,0,1,1,27,36,7,6,21,37,58,51,85,4669,1.1856
3.532,1.157767698,0,2,2,3,4,123,234,11,73,112,396,620,552,38,2830,2.315
3.58,0.557803507,0,0,1,1,0,21,30,4,4,11,43,56,30,18,4781,1.1508
3.628,0.888389463,0,0,5,1,3,62,108,9,23,34,150,232,266,36,4071,1.5628
3.676,0.832093646,0,0,0,2,4,50,113,7,18,47,113,175,191,29,4251,1.4878
3.724,1.231694968,0,4,6,6,7,158,327,29,96,181,583,764,549,61,2229,2.791
3.772,0.91049232,0,3,2,5,4,77,123,13,22,67,150,261,289,43,3941,1.6628
3.82,1.017549241,0,3,1,5,6,121,253,23,78,117,393,576,541,46,2837,2.3468
3.868,0.662956868,0,1,1,1,0,23,51,3,11,19,53,92,87,90,4568,1.2294
3.916,1.189140688,0,4,5,4,6,185,432,36,123,225,635,920,534,43,1848,3.1358
3.964,1.091354163,1,0,3,5,12,178,385,35,107,199,711,819,497,49,1999,3.0204
4.012,1.069709012,1,7,3,8,3,133,300,21,83,138,425,631,439,55,2753,2.4858
4.06,0.415850227,1,0,1,1,0,5,15,1,3,6,12,20,20,11,4904,1.0628
4.108,0.777916777,0,1,0,3,0,70,96,8,22,36,117,166,168,29,4284,1.4838
4.156,0.822712917,1,3,10,0,12,123,157,12,42,77,225,334,308,36,3660,1.9102
4.204,0.789553928,0,4,5,3,4,82,137,6,21,65,139,206,171,301,3856,1.6314
4.252,0.779846866,1,5,4,3,3,77,111,5,25,45,145,170,217,279,3910,1.573
4.3,1.675604897,0,19,34,29,27,641,1697,48,548,573,921,362,55,4,42,6.3626
4.348,0.579553899,0,2,2,2,2,29,47,4,8,25,74,68,72,26,4639,1.245
4.396,0.689744494,2,3,1,1,3,81,99,12,21,51,143,193,150,34,4206,1.556
4.444,0.557750583,0,2,2,2,3,34,37,4,5,10,63,55,58,19,4706,1.211
4.492,1.2470288,0,15,22,23,19,427,1136,66,336,556,1095,644,286,10,365,5.2422
4.54,1.060902331,0,5,10,7,7,180,402,34,108,215,638,895,532,45,1922,3.0692
4.588,1.492835359,1,17,32,20,27,478,1405,68,440,606,1102,515,139,2,148,5.8022
4.636,1.123643457,1,11,25,15,13,270,634,52,186,303,872,956,425,33,1204,3.915
4.684,1.015863296,0,5,6,7,17,164,283,27,72,127,464,673,503,50,2602,2.572
4.732,1.185448514,0,15,17,23,15,326,781,49,235,360,990,912,382,22,873,4.3534
4.78,0.880246721,0,6,10,9,12,164,266,17,58,112,333,540,398,54,3021,2.3618
4.828,1.101320741,0,9,18,15,12,227,585,40,156,332,858,990,448,31,1279,3.7458
4.876,1.455981287,1,32,45,51,44,1008,2008,37,478,536,582,149,18,0,11,7.0868
4.924,1.230613331,2,20,30,26,22,459,1068,57,330,513,1142,698,276,6,351,5.2332
4.972,0.987614417,0,11,9,12,14,228,454,37,146,226,752,866,490,46,1709,3.347
5,0.98441562,1,5,13,12,11,232,449,21,121,200,620,808,479,50,1978,3.1694
5.096,0.761562024,0,6,6,13,8,121,157,14,50,91,237,321,278,42,3656,1.9356
5.144,1.2470288,0,25,28,21,14,466,1361,66,454,566,1165,516,162,13,143,5.7312
5.192,1.020963542,1,23,24,15,17,390,916,62,264,476,1144,762,349,17,540,4.8292
5.24,1.038887317,0,19,27,24,26,427,1014,62,270,499,1181,623,318,19,491,5.0344
5.288,1.233672781,1,37,39,28,30,572,1492,58,402,588,1052,458,127,4,112,6.025
5.336,0.974554041,0,16,24,20,19,305,651,34,172,355,919,863,389,28,1205,4.0082
5.384,0.672530408,0,11,16,7,8,103,127,17,34,80,242,269,234,61,3791,1.8354
5.432,0.668859096,0,10,5,9,11,127,126,10,28,87,227,259,238,49,3814,1.8376
5.48,0.757634069,0,12,10,9,10,186,253,26,69,111,377,453,364,478,2642,2.3934
5.528,0.73068532,0,8,9,6,7,126,201,24,41,98,257,354,313,47,3509,2.0426
5.576,1.050376096,0,22,44,29,24,531,1204,70,322,539,1212,532,203,115,153,5.561
5.624,0.781841413,1,18,16,16,14,209,426,47,104,225,705,695,459,544,1521,3.179
5.672,1.360970507,0,45,55,32,33,860,1973,45,448,487,758,200,40,1,22,6.866773355
5.72,0.989060213,2,43,45,28,34,541,1103,55,323,514,1180,532,241,23,336,5.4496
5.768,0.946376477,0,25,32,27,23,407,892,49,240,444,1097,731,353,26,654,4.7628
5.816,0.514707887,0,4,3,5,3,68,67,2,12,19,93,99,73,35,4517,1.3684
5.864,0.678539431,0,13,14,5,16,155,185,15,39,123,387,422,355,49,3222,2.2192
5.912,0.675748308,0,8,13,6,11,124,240,21,41,86,294,393,343,58,3362,2.1382
5.96,1.284142696,2,66,73,45,46,1172,1935,38,451,488,531,107,26,3,17,7.2512
6.008,1.133056493,0,40,55,39,37,775,1611,43,389,547,936,361,94,3,70,6.399
6.056,1.316792152,1,54,62,46,49,994,1886,31,429,496,708,179,32,11,21,6.971594319
6.104,1.068466569,0,51,47,29,31,637,1450,57,354,538,1054,458,148,2,143,6.030806161
6.152,0.581707996,0,11,5,16,11,113,156,16,29,72,225,280,240,44,3782,1.8742
6.2,0.849345099,2,24,48,46,26,487,890,61,264,437,1221,623,332,22,517,5.0142
